item_id,sku,item_name,category,location_id,system_quantity,available_quantity,reserved_quantity,last_scan_timestamp,last_movement_timestamp,inventory_status
X123,SKU-X123,Wireless Ergonomic Mouse,Electronics,A15-B04,3,3,0,2026-08-25T14:30:00Z,2026-08-24T09:15:00Z,AVAILABLE
X123-OVERFLOW,SKU-X123,Wireless Ergonomic Mouse,Electronics,A15-B05,5,5,0,2026-08-25T15:00:00Z,2026-08-24T10:00:00Z,AVAILABLE
X124,SKU-X124,Ultra-Speed USB-C Cable 2m,Electronics,A12-B03,5,4,1,2026-08-25T11:20:00Z,2026-08-23T16:45:00Z,AVAILABLE
X125,SKU-X125,HD Pro Webcam 1080p,Electronics,A20-B02,10,8,2,2026-08-25T08:10:00Z,2026-08-22T13:00:00Z,AVAILABLE
X126,SKU-X126,Wireless Ergonomic Mouse,Electronics,A15-B04,21,19,2,2026-08-25T06:00:00Z,2026-08-19T12:00:00Z,AVAILABLE
X127,SKU-X127,Ultra-Speed USB-C Cable 2m,Electronics,A15-B03,19,19,0,2026-08-23T11:00:00Z,2026-08-24T12:00:00Z,DAMAGED
X128,SKU-X128,Adjustable Aluminium Laptop Stand,Office,A15-B05,11,9,2,2026-08-24T11:00:00Z,2026-08-19T12:00:00Z,AVAILABLE
X129,SKU-X129,Mechanical Gaming Keyboard RGB,Electronics,A15-B06,3,2,1,2026-08-23T22:00:00Z,2026-08-24T12:00:00Z,DISCREPANCY
X130,SKU-X130,Shockproof Clear Phone Case,Accessories,A12-B03,9,9,0,2026-08-23T11:00:00Z,2026-08-22T12:00:00Z,AVAILABLE
X131,SKU-X131,4K Braided HDMI Cable 3m,Electronics,A12-B02,22,20,2,2026-08-24T15:00:00Z,2026-08-22T12:00:00Z,AVAILABLE
X132,SKU-X132,Portable Bluetooth Speaker,Electronics,A12-B04,8,6,2,2026-08-25T02:00:00Z,2026-08-20T12:00:00Z,HOLD
X133,SKU-X133,HD Pro Webcam 1080p,Electronics,A20-B02,7,6,1,2026-08-24T15:00:00Z,2026-08-21T12:00:00Z,AVAILABLE
X134,SKU-X134,65W Fast Power Adapter,Electronics,A20-B01,10,9,1,2026-08-23T18:00:00Z,2026-08-18T12:00:00Z,DISCREPANCY
X135,SKU-X135,LED Dimmable Desk Lamp,Office,A20-B03,3,2,1,2026-08-25T07:00:00Z,2026-08-18T12:00:00Z,AVAILABLE
X136,SKU-X136,Noise-Cancelling Headphones,Electronics,A01-B01,14,12,2,2026-08-25T03:00:00Z,2026-08-23T12:00:00Z,DAMAGED
