location_id,zone,aisle,rack,bin,status,capacity,neighbouring_locations
A15-B04,Z01,A15,R04,B04,ACTIVE,20,A15-B03|A15-B05
A15-B03,Z01,A15,R04,B03,ACTIVE,20,A15-B02|A15-B04
A15-B05,Z01,A15,R04,B05,ACTIVE,25,A15-B04|A15-B06
A15-B06,Z01,A15,R04,B06,ACTIVE,25,A15-B05|A15-B07
A12-B03,Z01,A12,R03,B03,ACTIVE,15,A12-B02|A12-B04
A12-B02,Z01,A12,R03,B02,ACTIVE,15,A12-B01|A12-B03
A12-B04,Z01,A12,R03,B04,ACTIVE,15,A12-B03|A12-B05
A20-B02,Z02,A20,R02,B02,ACTIVE,30,A20-B01|A20-B03
A20-B01,Z02,A20,R02,B01,ACTIVE,30,A20-B02
A20-B03,Z02,A20,R02,B03,ACTIVE,30,A20-B02|A20-B04
A01-B01,Z01,A01,R01,B01,BLOCKED,10,A01-B02
A01-B02,Z01,A01,R01,B02,ACTIVE,50,A01-B01|A01-B03
A01-B03,Z01,A01,R01,B03,ACTIVE,15,A01-B02|A01-B04
A01-B04,Z01,A01,R01,B04,ACTIVE,15,A01-B03|A01-B05
A01-B05,Z01,A01,R01,B05,BLOCKED,10,A01-B04
A02-B01,Z01,A02,R01,B01,BLOCKED,50,A02-B02
A02-B02,Z01,A02,R01,B02,ACTIVE,10,A02-B01|A02-B03
A02-B03,Z01,A02,R01,B03,ACTIVE,25,A02-B02|A02-B04
A02-B04,Z01,A02,R01,B04,ACTIVE,10,A02-B03|A02-B05
A02-B05,Z01,A02,R01,B05,ACTIVE,15,A02-B04
A03-B01,Z01,A03,R01,B01,ACTIVE,30,A03-B02
A03-B02,Z01,A03,R01,B02,ACTIVE,10,A03-B01|A03-B03
A03-B03,Z01,A03,R01,B03,ACTIVE,15,A03-B02|A03-B04
A03-B04,Z01,A03,R01,B04,BLOCKED,50,A03-B03|A03-B05
A03-B05,Z01,A03,R01,B05,BLOCKED,30,A03-B04
A04-B01,Z01,A04,R01,B01,ACTIVE,15,A04-B02
A04-B02,Z01,A04,R01,B02,ACTIVE,30,A04-B01|A04-B03
A04-B03,Z01,A04,R01,B03,ACTIVE,10,A04-B02|A04-B04
A04-B04,Z01,A04,R01,B04,MAINTENANCE,15,A04-B03|A04-B05
A04-B05,Z01,A04,R01,B05,BLOCKED,25,A04-B04
A05-B01,Z01,A05,R01,B01,ACTIVE,20,A05-B02
A05-B02,Z01,A05,R01,B02,ACTIVE,15,A05-B01|A05-B03
A05-B03,Z01,A05,R01,B03,MAINTENANCE,20,A05-B02|A05-B04
A05-B04,Z01,A05,R01,B04,ACTIVE,10,A05-B03|A05-B05
A05-B05,Z01,A05,R01,B05,ACTIVE,10,A05-B04
A06-B01,Z01,A06,R01,B01,ACTIVE,20,A06-B02
