task_id,order_id,item_id,expected_location,required_quantity,priority,status,created_at,assigned_operator
TASK-1001,ORD-9001,X123,A15-B04,3,NORMAL,EXCEPTION,2026-08-26T05:00:00Z,OP-101
TASK-1002,ORD-9002,X124,A12-B03,1,URGENT,EXCEPTION,2026-08-26T05:15:00Z,OP-102
TASK-1003,ORD-9003,X125,A20-B02,10,HIGH,EXCEPTION,2026-08-26T05:30:00Z,OP-103
TASK-1004,ORD-9004,X123,A15-B04,3,URGENT,PENDING,2026-08-26T04:00:00Z,OP-105
TASK-1005,ORD-9005,X123-OVERFLOW,A15-B05,1,HIGH,EXCEPTION,2026-08-26T04:02:00Z,OP-103
TASK-1006,ORD-9006,X124,A12-B03,2,NORMAL,IN_PROGRESS,2026-08-26T04:04:00Z,OP-103
TASK-1007,ORD-9007,X125,A20-B02,4,NORMAL,EXCEPTION,2026-08-26T04:06:00Z,OP-104
TASK-1008,ORD-9008,X126,A15-B04,3,LOW,PENDING,2026-08-26T04:08:00Z,OP-104
TASK-1009,ORD-9009,X127,A15-B03,5,URGENT,PENDING,2026-08-26T04:10:00Z,OP-101
TASK-1010,ORD-9010,X128,A15-B05,5,NORMAL,EXCEPTION,2026-08-26T04:12:00Z,OP-102
TASK-1011,ORD-9011,X129,A15-B06,3,LOW,IN_PROGRESS,2026-08-26T04:14:00Z,OP-103
TASK-1012,ORD-9012,X130,A12-B03,3,NORMAL,COMPLETED,2026-08-26T04:16:00Z,OP-105
TASK-1013,ORD-9013,X131,A12-B02,3,URGENT,PENDING,2026-08-26T04:18:00Z,OP-106
TASK-1014,ORD-9014,X132,A12-B04,5,NORMAL,PENDING,2026-08-26T04:20:00Z,OP-102
TASK-1015,ORD-9015,X133,A20-B02,3,LOW,PENDING,2026-08-26T04:22:00Z,OP-106
TASK-1016,ORD-9016,X134,A20-B01,5,NORMAL,EXCEPTION,2026-08-26T04:24:00Z,OP-103
TASK-1017,ORD-9017,X135,A20-B03,3,NORMAL,EXCEPTION,2026-08-26T04:26:00Z,OP-102
TASK-1018,ORD-9018,X136,A01-B01,3,URGENT,COMPLETED,2026-08-26T04:28:00Z,OP-103
TASK-1019,ORD-9019,X137,A01-B02,1,LOW,COMPLETED,2026-08-26T04:30:00Z,OP-103
TASK-1020,ORD-9020,X138,A01-B03,1,LOW,EXCEPTION,2026-08-26T04:32:00Z,OP-102
TASK-1021,ORD-9021,X139,A01-B04,3,NORMAL,COMPLETED,2026-08-26T04:34:00Z,OP-105
TASK-1022,ORD-9022,X140,A01-B05,4,URGENT,PENDING,2026-08-26T04:36:00Z,OP-101
TASK-1023,ORD-9023,X141,A02-B01,1,NORMAL,PENDING,2026-08-26T04:38:00Z,OP-103
TASK-1024,ORD-9024,X142,A02-B02,5,URGENT,IN_PROGRESS,2026-08-26T04:40:00Z,OP-104
TASK-1025,ORD-9025,X143,A02-B03,2,LOW,EXCEPTION,2026-08-26T04:42:00Z,OP-103
TASK-1026,ORD-9026,X144,A02-B04,1,NORMAL,IN_PROGRESS,2026-08-26T04:44:00Z,OP-106
TASK-1027,ORD-9027,X145,A02-B05,2,LOW,EXCEPTION,2026-08-26T04:46:00Z,OP-105
TASK-1028,ORD-9028,X146,A03-B01,4,URGENT,IN_PROGRESS,2026-08-26T04:48:00Z,OP-102
TASK-1029,ORD-9029,X147,A03-B02,2,NORMAL,COMPLETED,2026-08-26T04:50:00Z,OP-101
TASK-1030,ORD-9030,X148,A03-B03,2,NORMAL,COMPLETED,2026-08-26T04:52:00Z,OP-106
TASK-1031,ORD-9031,X149,A03-B04,2,NORMAL,IN_PROGRESS,2026-08-26T04:54:00Z,OP-106
TASK-1032,ORD-9032,X150,A03-B05,1,HIGH,PENDING,2026-08-26T04:56:00Z,OP-104
TASK-1033,ORD-9033,X151,A04-B01,2,NORMAL,COMPLETED,2026-08-26T04:58:00Z,OP-103
TASK-1034,ORD-9034,X152,A04-B02,3,NORMAL,IN_PROGRESS,2026-08-26T05:00:00Z,OP-101
TASK-1035,ORD-9035,X153,A04-B03,2,HIGH,EXCEPTION,2026-08-26T05:02:00Z,OP-103
TASK-1036,ORD-9036,X154,A04-B04,1,NORMAL,EXCEPTION,2026-08-26T05:04:00Z,OP-106
TASK-1037,ORD-9037,X155,A04-B05,5,HIGH,EXCEPTION,2026-08-26T05:06:00Z,OP-101
TASK-1038,ORD-9038,X156,A05-B01,1,NORMAL,IN_PROGRESS,2026-08-26T05:08:00Z,OP-105
TASK-1039,ORD-9039,X157,A05-B02,3,LOW,PENDING,2026-08-26T05:10:00Z,OP-105
TASK-1040,ORD-9040,X158,A05-B03,4,NORMAL,EXCEPTION,2026-08-26T05:12:00Z,OP-104
TASK-1041,ORD-9041,X159,A05-B04,2,URGENT,PENDING,2026-08-26T05:14:00Z,OP-104
TASK-1042,ORD-9042,X160,A05-B05,5,NORMAL,EXCEPTION,2026-08-26T05:16:00Z,OP-101
TASK-1043,ORD-9043,X161,A06-B01,3,LOW,IN_PROGRESS,2026-08-26T05:18:00Z,OP-103
TASK-1044,ORD-9044,X162,A15-B04,4,LOW,EXCEPTION,2026-08-26T05:20:00Z,OP-105
TASK-1045,ORD-9045,X163,A15-B03,3,LOW,EXCEPTION,2026-08-26T05:22:00Z,OP-105
